election,source_result_row_id,source_locality_name,source_kalpi,pdf_source,scanned_address,place,notes
K17,608,"כפר אז""ר",10,part 2 page 91,0,בית יד לבנים,manual visual transcription of K17 scanned polling-place list
K17,943,אבו סנאן,10,part 1 page 65,0,"בי""ס ממלכתי ב'",manual visual transcription of K17 scanned polling-place list
K17,944,אבו סנאן,20,part 1 page 65,0,"בי""ס ממלכתי ב'",manual visual transcription of K17 scanned polling-place list
K17,945,אבו סנאן,30,part 1 page 65,0,"בי""ס חטיבה",manual visual transcription of K17 scanned polling-place list
K17,946,אבו סנאן,40,part 1 page 65,0,"בי""ס ממלכתי א'",manual visual transcription of K17 scanned polling-place list
K17,947,אבו סנאן,50,part 1 page 65,0,"בי""ס ממלכתי א'",manual visual transcription of K17 scanned polling-place list
K17,948,אבו סנאן,60,part 1 page 65,0,"בי""ס תיכון",manual visual transcription of K17 scanned polling-place list
K17,949,אבו סנאן,70,part 1 page 65,0,"בי""ס ממלכתי ג'",manual visual transcription of K17 scanned polling-place list
K17,950,אבו סנאן,80,part 1 page 65,0,"בי""ס תיכון",manual visual transcription of K17 scanned polling-place list
K17,951,אבו סנאן,90,part 1 page 65,0,"בי""ס חטיבה",manual visual transcription of K17 scanned polling-place list
K17,953,אכסאל,10,part 1 page 47,0,"בי""ס מקיף",manual visual transcription of K17 scanned polling-place list
K17,954,אכסאל,20,part 1 page 47,0,"בי""ס היסודי ג' - שכונה צפונית",manual visual transcription of K17 scanned polling-place list
K17,955,אכסאל,30,part 1 page 47,0,"בי""ס היסודי ג' - שכונה צפונית",manual visual transcription of K17 scanned polling-place list
K17,956,אכסאל,40,part 1 page 47,0,"בי""ס מקיף",manual visual transcription of K17 scanned polling-place list
K17,957,אכסאל,50,part 1 page 47,0,"בי""ס ממלכתי א'",manual visual transcription of K17 scanned polling-place list
K17,958,אכסאל,60,part 1 page 47,0,"בי""ס היסודי ג' - שכונה צפונית",manual visual transcription of K17 scanned polling-place list
K17,959,אכסאל,70,part 1 page 47,0,"בי""ס ממלכתי א'",manual visual transcription of K17 scanned polling-place list
K17,960,אכסאל,80,part 1 page 47,0,"בי""ס מקיף",manual visual transcription of K17 scanned polling-place list
K17,961,אכסאל,90,part 1 page 47,0,"בי""ס ממלכתי א'",manual visual transcription of K17 scanned polling-place list
K17,962,בית ג'ן,10,part 1 page 66,0,חטיבת ביניים - שכונת חיילים משוחררים,manual visual transcription of K17 scanned polling-place list
K17,963,בית ג'ן,20,part 1 page 66,0,"בי""ס תיכון - חיילים משוחררים",manual visual transcription of K17 scanned polling-place list
